City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Datetime
ushuaia,-54.8,-68.3,35.6,80,75,25.28,AR,1603190951
pakxe,15.12,105.78,80.6,88,90,6.93,LA,1603191358
hermanus,-34.42,19.23,61.0,67,15,5.99,ZA,1603190939
aksu,41.12,80.26,66.99,23,0,4.79,CN,1603191333
carnarvon,-24.87,113.63,71.6,68,0,19.46,AU,1603191224
punta arenas,8.99,125.34,78.69,89,73,4.18,PH,1603191359
kapaa,22.08,-159.32,73.99,81,7,8.66,US,1603191212
noumea,-22.28,166.46,75.2,64,57,5.82,NC,1603191158
makakilo city,21.35,-158.09,80.6,74,40,10.29,US,1603191359
boyuibe,-20.42,-63.28,69.8,83,40,2.46,BO,1603191359
mys shmidta,62.06,48.62,35.29,86,100,3.58,RU,1603191318
rikitea,-23.12,-134.97,73.38,80,3,15.57,PF,1603191211
yudong,29.39,106.52,61.0,77,40,6.71,CN,1603191360
norman wells,35.22,-97.44,50.0,81,90,5.82,US,1603191053
katsuura,35.13,140.3,64.4,72,20,10.29,JP,1603191237
adrar,20.5,-10.07,89.69,14,0,10.36,MR,1603191296
bredasdorp,-34.53,20.04,68.0,52,46,16.11,ZA,1603191361
bluff,-46.6,168.33,48.0,79,80,9.22,NZ,1603191217
nikolskoye,59.7,30.79,39.2,64,75,11.18,RU,1603191206
atuona,-9.8,-139.03,77.81,73,3,20.38,PF,1603191228
klaksvik,62.23,-6.59,42.8,70,62,11.41,FO,1603191285
dakar,14.69,-17.44,91.4,49,94,11.41,SN,1603191126
grand gaube,38.88,-109.5,50.0,29,1,3.36,US,1603191151
mayumba,-3.43,10.66,79.39,82,98,7.54,GA,1603191362
mataura,-46.19,168.86,48.0,79,86,0.67,NZ,1603191214
dikson,73.51,80.55,21.61,94,74,13.0,RU,1603191324
lethem,3.38,-59.8,78.93,78,100,8.25,GY,1603191363
clyde river,41.3,-82.98,46.99,94,100,9.55,US,1603191241
petropavlovsk-kamchatskiy,53.05,158.65,32.0,82,46,4.47,RU,1603191364
lebu,-37.62,-73.65,47.12,76,0,15.21,CL,1603191252
tochtepec,18.83,-97.82,54.0,88,58,4.94,MX,1603191364
kasane,-17.82,25.15,96.8,9,0,3.36,BW,1603191364
hobart,-42.88,147.33,55.0,81,75,10.29,AU,1603191183
cidreira,-30.18,-50.21,69.6,73,0,4.99,BR,1603191249
arraial do cabo,-22.84,-46.65,66.2,88,75,3.36,BR,1603191252
